Game,Total,Twitch_Year
DC Universe Online,1843528.366302,2016
DNC 2016,2791444.542096,2016
DOOM,419313517.082796,2016
DOOM 3,289160.196801,2016
Danganronpa 2: Goodbye Despair,1401552.005427,2016
Danganronpa: Trigger Happy Havoc,790387.983882,2016
Dark Souls,258054688.828167,2016
Dark Souls II,9638756.70786,2016
Dark Souls II: Scholar of the First Sin,133452268.049583,2016
Dark Souls III,9530658283.48158,2016
Darkest Dungeon,242296140.206148,2016
Darksiders II,1240896.581925,2016
DayZ,1085830486.853805,2016
Dead Rising,1543587.050817,2016
Dead Rising 2,1300830.482385,2016
Dead Rising 4,23705292.572136,2016
Dead Space,2534340.0067650005,2016
Dead Space 2,1365268.753926,2016
Dead Space 3,729255.708216,2016
Dead by Daylight,9555240697.141,2016
Death Road to Canada,965993.5110629998,2016
Defunct,567966.38514,2016
Demon's Souls,3602015.731335,2016
Deponia Doomsday,1894520.488266,2016
Destiny,11329174691.248323,2016
Destiny Child,263170.929336,2016
Deus Ex,3066571.308822,2016
Deus Ex: Human Revolution - Director's Cut,5399310.165228001,2016
Deus Ex: Mankind Divided,132872301.49477202,2016
Devil Daggers,689038.081116,2016
DiRT Rally,276099.553548,2016
Diablo,1537459.780752,2016
Diablo II: Lord of Destruction,47692931.922111005,2016
Diablo III,1365120607.93353,2016
Digimon Story Cyber Sleuth,747964.451241,2016
Dishonored,5924453.743319999,2016
Dishonored 2,121160561.791731,2016
Divinity: Original Sin,2322231.790389,2016
Divinity: Original Sin II,497163.237648,2016
Dofus,7839712.828479,2016
Don't Starve,1898375.488422,2016
Don't Starve Together,4754339.018036999,2016
Donkey Kong 64,715478.809227,2016
Donkey Kong Country,1255706.41833,2016
Donkey Kong Country 2: Diddy's Kong Quest,2118722.270175,2016
Donkey Kong Country: Tropical Freeze,2438765.538825,2016
Dota 2,462243609528.4562,2016
Dragon Ball: Xenoverse 2,13469075.09115,2016
Dragon Quest Builders,2881830.5402879994,2016
Dragon Quest Heroes II,298049.520951,2016
Dragon's Dogma: Dark Arisen,50413855.112943,2016
Drawful 2,2852082.9962100005,2016
Dreadnought,6390093.022992,2016
Duelyst,24188541.371904,2016
Dungeons & Dragons,142584947.450946,2016
Dying Light,64850805.984006,2016
E3 2016,4036021594.594752,2016
EA Sports UFC 2,106543697.560608,2016
EVE Online,40233815.069469005,2016
Elite: Dangerous,5416496.864814,2016
Enter the Gungeon,110958449.224413,2016
Escape From Tarkov,4337594.270016,2016
Eternal Card Game,532520.826075,2016
Euro Truck Simulator 2,44836366.3188,2016
Europa Universalis IV,5637596.380626,2016
Event[0],524473.357905,2016
Evoland 2,460846.12581,2016
Evolve,112872657.29859,2016
Exanima,796026.778764,2016
Extra Life,2368896.397266,2016
F1 2016,679105.789194,2016
FIFA 16,3032683836.886011,2016
FIFA 17,4769582247.104934,2016
FTL: Faster Than Light,8559147.398781,2016
Factorio,15426672.466695,2016
Faeria,9243913.100226,2016
Fallout 4,214592875.808703,2016
Fallout: New Vegas,1062147.705192,2016
Far Cry 4,540792.983682,2016
Far Cry: Primal,108365478.127956,2016
Farming Simulator 15,9691659.312993,2016
Farming Simulator 17,45128856.609564,2016
Fate/Extella: The Umbral Star,564407.280486,2016
Final Fantasy IV,6080121.714239999,2016
Final Fantasy IX,2769348.345981,2016
Final Fantasy Tactics: The War of the Lions,390246.108798,2016
Final Fantasy V,320635.28044800006,2016
Final Fantasy VI,5310996.0033060005,2016
Final Fantasy VII,6822610.852785001,2016
Final Fantasy X/X-2 HD Remaster,10116752.865681,2016
Final Fantasy XII,621192.658506,2016
Final Fantasy XIV: Heavensward,43930217.397024,2016
Final Fantasy XV,853676898.282894,2016
Fire Emblem Fates: Special Edition,1199648.6038530003,2016
Fire Emblem: Path of Radiance,1177635.3158850002,2016
Fire Emblem: The Blazing Blade,900086.9909639999,2016
Firewatch,55851348.49358401,2016
Five Nights at Freddy's: Sister Location,776258.71344,2016
Football Manager 2017,5582489.667846001,2016
For Honor,54050866.59865199,2016
Forced Showdown,600436.445406,2016
Forza Horizon 3,16132240.022514,2016
Forza Motorsport 6,969449.36298,2016
Friday the 13th: The Game,386906332.9234741,2016
Furi,12079180.488479998,2016
Game & Wario,332884.56883500004,2016
Games + Demos,27510078.053388,2016
Gang Beasts,13953748.690371,2016
Garry's Mod,80617066.735422,2016
Gears of War 4,189234350.53196105,2016
Gears of War: Ultimate Edition,8382531.360545999,2016
Geometry Dash,3624168.166836,2016
Ghost of a Tale,252513.297582,2016
Ghostbusters,583265.7533849999,2016
Goat Simulator,200894.27836800003,2016
Golf With Your Friends,21427220.701488,2016
Google Go,339133.90644000005,2016
Grand Theft Auto III,992458.494972,2016
Grand Theft Auto V,2471421888.729444,2016
Grand Theft Auto: San Andreas,5973453.246747,2016
Grid 2,660504.951351,2016
Grim Dawn,1914397.405032,2016
Guild Wars 2,26366311.606614,2016
Guilty Gear Xrd: Revelator,12967213.988022,2016
Guitar Hero III: Legends of Rock,248804.24226,2016
Gwent: The Witcher Card Game,7275711.398907001,2016
HEX: Shards of Fate,1779941.949555,2016
HITMAN,20933875.30752,2016
Halcyon 6: Starbase Commander,299181.579102,2016
Half Life 2: Survivor,3394818.5885880003,2016
Half-Life 2,945361.494588,2016
Halo 4,1935109.711668,2016
Halo 5: Guardians,404280716.099295,2016
Harvester,355236.223608,2016
Hearthstone,411663408877.8536,2016
Hearts of Iron IV,22305208.673328,2016
Heavy Rain,23484614.205108,2016
Hello Neighbor,365178.798222,2016
Heroes of Might and Magic III: The Shadow of Death,15750421.226421,2016
Heroes of Newerth,14995459.198251002,2016
Heroes of the Storm,2994866147.97447,2016
Hexen: Beyond Heretic,632132.338824,2016
Hitman: Absolution,968114.537082,2016
Hitman: Blood Money,186700.315284,2016
Homefront: The Revolution,2439691.816968,2016
Horror Stories,327336.488745,2016
Human: Fall Flat,2546769.2895750003,2016
Hurtworld,1006072.242966,2016
Hyper Light Drifter,1439714.466204,2016
I Am Setsuna,543882.096765,2016
I Wanna Be The Guy,3042538.386594,2016
INSIDE,21491602.812498003,2016
IRL,119799416.208045,2016
Iji,682458.419916,2016
Illusion of Gaia,861942.777234,2016
Infestation: Survivor Stories,2391516.032871,2016
Infestation: The New Z,12829890.607737,2016
Jackbox Party Packs,17738164.568817,2016
Jak and Daxter: The Precursor Legacy,616283.650878,2016
Just Cause 3,988723.25979,2016
Just Dance 2017,539571.96132,2016
Just Survive,2550532.407885,2016
Kantai Collection,4821146.850786,2016
Karaoke,583100.457534,2016
Kartrider,12200257.325802,2016
Kerbal Space Program,25097336.746335,2016
Killer Instinct,12211302.182919,2016
Killing Floor 2,721290.280788,2016
Kingdom Come: Deliverance,282198.54621,2016
Kingdom Hearts HD 1.5 ReMIX,10665598.506192,2016
Kingdom: New Lands,894068.651196,2016
Kirby 64: The Crystal Shards,2108835.540672,2016
Kirby: Nightmare in Dream Land,1171343.838168,2016
Kirby: Squeak Squad,1904349.5747640005,2016
Knight Online,11137479.711099,2016
L.A. Noire,9429167.072871,2016
LEGO Star Wars: The Force Awakens,204163.038912,2016
LEGO The Lord of the Rings,433390.108032,2016
LawBreakers,209912.767008,2016
Layers of Fear,18205145.156268,2016
League of Legends,1945298224967.184,2016
Left 4 Dead 2,7286317.995705,2016
Let It Die,76565977.062372,2016
Life is Strange,6703053.914046001,2016
Lineage II: The Chaotic Throne - The 1st Throne: The Kamael,141546414.752253,2016
London 2012: The Official Video Game,1710373.844844,2016
M.U.G.E.N,29927309.395683,2016
MLB 15: The Show,286570.488204,2016
MLB The Show 16,9303472.612917,2016
MXM,345239.270586,2016
Mad Max,1213541.8297380002,2016
Madden NFL 16,91654900.694931,2016
Madden NFL 17,90422016.806121,2016
Mafia,1260707.165865,2016
Mafia II,7702587.973541999,2016
Mafia III,173437467.876456,2016
Mafia LIVE!,3269076.500214,2016
Magic: The Gathering,920303482.341264,2016
MapleStory,15060838.083774,2016
Mario Kart 64,642061.9181340002,2016
Mario Kart 8,20898630.860247,2016
Mario Party 10,3184645.032324,2016
Mark of the Ninja,595717.983,2016
Mass Effect,1007790.24108,2016
Mass Effect 2,2310659.8822230003,2016
Mass Effect 3,3081979.575822,2016
MechWarrior Online,384324.949932,2016
Mega Man 10,823483.8689700001,2016
Mega Man 2,921841.44528,2016
Mega Man X,1560298.459776,2016
Mega Man X2,967179.395637,2016
Mega Man ZX Advent,1000460.321868,2016
Mega Man Zero 2,1156254.523872,2016
Metal Gear Solid,451782.0589800001,2016
Metal Gear Solid 2: Sons of Liberty,1188925.017777,2016
Metal Gear Solid 3: Snake Eater,620084.80884,2016
Metal Gear Solid 4: Guns of the Patriots,407370.891438,2016
Metal Gear Solid V: The Phantom Pain,8106901.467378,2016
Metal Gear Solid: Peace Walker,195716.990259,2016
Metin2,634443.468477,2016
Metro: Last Light,927382.27071,2016
Metroid Fusion,1163220.621885,2016
Metroid Prime,2436861.048636,2016
Microsoft Flight Simulator X,8975769.7323,2016
Mighty No. 9,1149699.465432,2016
Mike Tyson's Punch-Out!!,830127.8127659999,2016
Minecraft,15061303731.223051,2016
Mirror's Edge,928461.906057,2016
Mirror's Edge Catalyst,4413069.29238,2016
Miscreated,17129096.938989,2016
Monopoly,323405.04655200004,2016
Monster Hunter Generations,11218009.480902,2016
Monstrum,656037.058593,2016
Mortal Kombat X,74487739.958541,2016
Mount Your Friends,1173402.079836,2016
Move or Die,873513.6129720001,2016
Music,756279698.989269,2016
My Summer Car,12317324.812191002,2016
NBA 2K15,6900605.923239,2016
NBA 2K16,1921493355.071745,2016
NBA 2K17,603136244.856348,2016
NEKOPARA Vol. 2,306600.919884,2016
NHL 16,3058541.661882,2016
NHL 17,723948.1516470001,2016
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,615579.3968730001,2016
Naruto Shippuden: Ultimate Ninja Storm 4,34479798.88588199,2016
Naval Action,926989.88823,2016
Necropolis,3732125.330052,2016
Need for Speed,806335.3982879999,2016
Neverwinter,2848946.270478,2016
New Super Mario Bros.,616442.559474,2016
Ninja Gaiden III: The Ancient Ship of Doom,715007.4613500001,2016
Nioh,515765.021751,2016
Nioh_,608345.318028,2016
No Man's Sky,2523172998.4428453,2016
Nuclear Throne,2345333.64009,2016
Obduction,567307.15734,2016
Orcs Must Die! Unchained,455409.7044,2016
Ori and the Blind Forest,2556044.104278,2016
Osiris: New Dawn,921594.881466,2016
Outlast,16411667.320146002,2016
Outlast 2,1187022.4201079998,2016
Overlord II,904939.19145,2016
Overwatch,80841918224.91954,2016
Owlboy,1342905.69672,2016
PAYDAY 2,4755986.803659,2016
PLAYERUNKNOWN'S BATTLEGROUNDS,25585479.208548,2016
Paladins,19849883.347938,2016
Paper Mario,3610161.925965,2016
Paper Mario: Color Splash,710847.923184,2016
Paper Mario: The Thousand-Year Door,341249.617632,2016
Paragon,219219622.18499696,2016
Parkitect,669546.5602769998,2016
Path of Exile,1686971511.636306,2016
Penn & Teller's Smoke and Mirrors,8567871.994836,2016
Pepsiman,848216.771262,2016
Persona 5,1230583.877712,2016
Phantasmagoria,328060.77192,2016
Phoenix Wright: Ace Attorney <U+2212> Spirit of Justice,204188.39868,2016
Pikmin,1452388.483392,2016
Pinball,756405.610884,2016
Pineview Drive,458945.23140900006,2016
Planet Coaster,303430258.760811,2016
PlanetSide 2,1001169.244089,2016
Plants vs Zombies: Garden Warfare 2,1272240.387768,2016
Pok<U+00E9>mon Crystal,637322.464527,2016
Pok<U+00E9>mon FireRed/LeafGreen,883425.1818,2016
Pok<U+00E9>mon GO,1342574671.851714,2016
Pok<U+00E9>mon Omega Ruby/Alpha Sapphire,316447432.848099,2016
Pok<U+00E9>mon Red/Blue,13791567.375306,2016
Pok<U+00E9>mon Sun/Moon,726188996.639904,2016
Pok<U+00E9>mon Trading Card Game,1578838.91046,2016
Pok<U+00E9>mon Yellow,5797278.701886,2016
Poker,2594131007.92881,2016
Pokk<U+00E9>n Tournament,21445327.780863,2016
Portal 2,1999471.052271,2016
Prime World,4740119.395536,2016
Prison Architect,264770.64495,2016
Pro Evolution Soccer 2016,339455.63484,2016
Pro Evolution Soccer 2017,570733.060128,2016
Project Highrise,922620.769245,2016
Punch Club,43234296.015645005,2016
Puzzle & Dragons,4025325.647007,2016
QuackShot starring Donald Duck,1307591.872818,2016
Quantum Break,33473102.269026,2016
Quiplash,3530421.005811,2016
RNC 2016,1479754.5276149998,2016
RPG Maker,996435.089538,2016
Rabi-Ribi,228451.388256,2016
Ragnarok Online,4627646.963478,2016
Ratchet & Clank,13358598.92073,2016
Rayman Legends,1693945.7619,2016
ReCore,2137436.05992,2016
Red Dead Redemption,5667402.372029999,2016
Reign of Kings,427954.853676,2016
Resident Evil,10233722.177595,2016
Resident Evil 2,604614.751062,2016
Resident Evil 3: Nemesis,348011.843928,2016
Resident Evil 4,3097612.453404,2016
Resident Evil 5,2023146.635181,2016
Resident Evil 7 biohazard,3930907.209138,2016
Resident Evil Zero,4176599.013006,2016
Resident Evil: Code Veronica X HD,552261.102897,2016
Resident Evil: Revelations 2,1659345.0079920003,2016
Retro,45808527.836421,2016
Revelation,368551.80507599993,2016
Revelation Online,699781.6017359999,2016
Rhythm Tengoku: The Best Plus,514128.465081,2016
Riders of Icarus,728529.2171009999,2016
RimWorld,57894460.284276,2016
Rise of the Tomb Raider,17152622.39775,2016
Risk: Factions,516960.006192,2016
Roblox,13139731.758426,2016
Rock Band 4,1311638.522166,2016
Rocket League,931492302.886908,2016
RollerCoaster Tycoon 2,301910.119812,2016
RollerCoaster Tycoon World,649328.201361,2016
RuneScape,6877961901.330976,2016
Rust,669614713.407591,2016
S.T.A.L.K.E.R.: Call of Pripyat,305571.720195,2016
SMITE,1928886632.904168,2016
SOMA,2141964.639486,2016
SUPERHOT,3593360.0072370004,2016
Salt and Sanctuary,12572715.528723,2016
Savage: Resurrection,192217.26342,2016
Scrap Mechanic,8265017.728337999,2016
Secret Hitler,5535197.816757,2016
Secret of Mana,1519967.9754,2016
Shadow Tactics: Blades of the Shogun,912763.011069,2016
Shadow Warrior 2,12537948.248826,2016
Shadow of the Colossus,427924.809921,2016
Shadowverse,23693093.814033,2016
Shattered Skies,202426178.335038,2016
ShellShock Live,14753339.494341,2016
Sherlock Holmes: The Devil's Daughter,1222498.275264,2016
Shoppe Keep,1001326.086684,2016
Sid Meier's Civilization V,30845741.198076,2016
Sid Meier's Civilization VI,260425982.180868,2016
Silent Hill,615709.412997,2016
Silent Hill 2,941501.6369639998,2016
Silent Hill 3,442622.451432,2016
Silent Hill: Downpour,960945.261276,2016
Slime Rancher,2951188.9537830004,2016
Slither,2091005.179263,2016
Slither.io,734589.5235,2016
Smash + Grab,864582.811092,2016
Social Eating,43267721.546175,2016
Sonic Advance,726714.9528029999,2016
Sonic Adventure 2: Battle,533951.855073,2016
Sonic the Hedgehog,1316668.58799,2016
South Park: The Stick of Truth,4397723.336601,2016
Space Hulk: Deathwing,512144.189403,2016
SpeedRunners,2213261.987034,2016
Splatoon,4955982.907806001,2016
Spongebob Squarepants: Battle For Bikini Bottom,238990.658655,2016
Spyro: Year of the Dragon,583293.8888490001,2016
Squad,758365.8200160002,2016
Star Citizen,20612001.893175,2016
Star Fox Zero,360797.456712,2016
Star Ocean: Integrity and Faithlessness,565364.564415,2016
Star Wars Battlefront,20993219.230641,2016
Star Wars: Jedi Knight II - Jedi Outcast,462304.233615,2016
Star Wars: Knights of the Old Republic,800973.274059,2016
Star Wars: The Old Republic,2038240.349586,2016
StarCraft II,5605701304.98208,2016
StarCraft: Brood War,2648099.541675,2016
Starbound,9212070.915012,2016
Stardew Valley,804923825.81499,2016
Steep,18215260.297164,2016
Stellaris,43742330.850204,2016
StepMania,1268367.69255,2016
Stone Age,414938.542704,2016
Stonehearth,2018264.312085,2016
Street Fighter III: 3rd Strike,621644.5607400001,2016
Street Fighter V,2631379099.5761013,2016
Subnautica,39383730.570219,2016
Summoners War: Sky Arena,46041627.61653,2016
Super Mario 3D World,599477.6632320001,2016
Super Mario 64,44799134.015832,2016
Super Mario 64 DS,579820.436496,2016
Super Mario Bros.,1326517.987536,2016
Super Mario Bros. 3,6300984.286548,2016
Super Mario Galaxy,5806751.269158,2016
Super Mario Galaxy 2,758672.31363,2016
Super Mario Maker,763218145.786824,2016
Super Mario RPG: Legend of the Seven Stars,5036820.748322999,2016
Super Mario Sunshine,13690166.784546,2016
Super Mario World,5803981.834245,2016
Super Metroid,10730154.744813,2016
Super Monkey Ball: Banana Blitz,850028.2756350001,2016
Super Smash Bros. Melee,572271118.765164,2016
Super Smash Bros. for Wii U,340191207.669579,2016
Supernova,340101.1260989999,2016
Sword Art Online: Hollow Realization,2288269.683126,2016
Syndrome,1300142.5040520004,2016
TERA,1515413.137119,2016
TMNT,831583.5076080001,2016
Tabletop Simulator,4933835.377086,2016
Tale of Wuxia,3461248.705887,2016
Tales from the Borderlands,1230133.6629750002,2016
Tales of Berseria,1800573.2090220004,2016
Talk Shows & Podcasts,12346402351.245754,2016
Team Fortress 2,29598701.338521,2016
Tekken 7,240709.918449,2016
Tekken 7: Fated Retribution,4954742.818305,2016
Terraria,18669696.899322,2016
The Ball,925607.922813,2016
The Binding of Isaac: Afterbirth,183776542.605075,2016
The Binding of Isaac: Rebirth,1548297.627723,2016
The Binding of Isaac: Repentance,39167289.413532,2016
The Bunker,1990123.675197,2016
The Culling,917951735.487108,2016
The Elder Scrolls III: Morrowind,6164307.469949999,2016
The Elder Scrolls IV: Oblivion,1791347.962572,2016
The Elder Scrolls Online,35805320.083134,2016
The Elder Scrolls V: Skyrim,433383028.74552,2016
The Elder Scrolls: Legends,6938993.231163,2016
The Evil Within,1701112.861308,2016
The Forest,14189148.781227,2016
The Game Awards 2016,2862476.179836,2016
The Guest,208292.312529,2016
The Isle,363332.550336,2016
The King of Fighters XIV,3839162.775861,2016
The Last Guardian,68080886.7942,2016
The Last of Us,13627161.86034,2016
The Legend of Zelda: A Link Between Worlds,940626.851136,2016
The Legend of Zelda: A Link to the Past,7842400.443444001,2016
The Legend of Zelda: Four Swords Adventures,1951257.007728,2016
The Legend of Zelda: Link's Awakening DX,1556076.1845719998,2016
The Legend of Zelda: Majora's Mask,39713334.250611,2016
The Legend of Zelda: Ocarina of Time,155999673.673179,2016
The Legend of Zelda: Ocarina of Time - Master Quest,1642797.759372,2016
The Legend of Zelda: Oracle of Ages,1163613.08322,2016
The Legend of Zelda: The Wind Waker,1281937.928355,2016
The Legend of Zelda: The Wind Waker HD,3416546.232204,2016
The Legend of Zelda: Twilight Princess HD,12025585.662615,2016
The Long Dark,3479587.618962,2016
The Mean Greens: Plastic Warfare,186647.89248,2016
The Political Machine 2016,839123.4334559999,2016
The Sims 4,16904001.162174,2016
The Solus Project,1206529.633092,2016
The Town of Light,214173.17649,2016
The Turing Test,440373.270267,2016
The Underground Man,1184948.486295,2016
The Walking Dead: A New Frontier,3587384.4068790004,2016
The Walking Dead: Michonne,434528.048766,2016
The Walking Dead: Season One,5610639.436143001,2016
The Walking Dead: Season Two,862374.4452750001,2016
The Witcher 3: Wild Hunt,176480042.85176998,2016
The Witness,16283769.241446,2016
This Is the Police,13661636.304309,2016
Through the Woods,740868.873318,2016
Tibia,50225495.530749,2016
Titanfall 2,66907035.997872,2016
Tom Clancy's Rainbow Six Siege,2167494244.1706333,2016
Tom Clancy's The Division,10998288320.38316,2016
Tony Hawk's Pro Skater,947076.9377999998,2016
Total War: Warhammer,232134899.525865,2016
Tower Unite,660303.492597,2016
Town of Salem,7542346.6965,2016
TrackMania 2: Stadium,1931920.894323,2016
TrackMania Turbo,5896290.932405999,2016
Transformers: Devastation,1529473.519833,2016
Transport Fever,2760628.0711800004,2016
Transport Tycoon Deluxe,512800.121064,2016
Tree of Savior,8861273.644377,2016
Trials Fusion,1582404.291972,2016
Trove,1401352.23417,2016
Twitch Plays,15510809.300763,2016
TwitchCon 2016,14917454.617884004,2016
Tyranny,1663575.216009,2016
Ultimate Chicken Horse,758560.749576,2016
Ultimate Marvel vs. Capcom 3,7034747.220396001,2016
Ultra Street Fighter IV,2810399.29695,2016
Uncharted 2: Among Thieves,265066.3512,2016
Uncharted 4: A Thief's End,463814480.9295271,2016
Uncharted: The Nathan Drake Collection,1153624.394202,2016
Undertale,12266201.617446002,2016
Unravel,6636043.723596,2016
Until Dawn,5727792.464436,2016
VVVVVV,582724.145703,2016
Vainglory,39606677.847932994,2016
Vampire: The Masquerade - Bloodlines,1033699.391865,2016
Virtual Reality,10848987.053415,2016
Viscera Cleanup Detail,1332857.6298870002,2016
WWE 2K16,5225887.849119,2016
WWE 2K17,2186200.528134,2016
War Thunder,12267054.655065,2016
Warcraft III,258931266.91992,2016
Warframe,53994858.983268,2016
"Warhammer 40,000: Eternal Crusade",255835.5849,2016
Watch Dogs 2,186785161.19799897,2016
We Happy Few,10628993.542062,2016
Wolfenstein: The New Order,1464046.958577,2016
World of Final Fantasy,9014398.778112,2016
World of Tanks,6061519105.613349,2016
World of Warcraft,50675447375.98214,2016
World of Warships,63986354.498031005,2016
Worms Revolution,2001952.098678,2016
Worms W.M.D,5659386.934761001,2016
XCOM 2,935557357.591206,2016
XCOM: Enemy Within,28899190.067496,2016
Yakuza 0,22245729.498111,2016
Yakuza 6: The Song of Life,32103844.634925004,2016
Yakuza Kiwami,10263570.403737,2016
Youtubers Life,1629492.2871149995,2016
Z1: Battle Royale,19130416405.78175,2016
Zelda II: The Adventure of Link,698665.3934399999,2016
Zero Escape: Zero Time Dilemma,2198279.678973,2016
iRacing,1225501.972611,2016
osu!,88151609.27874,2016
